path,cells,dims_match,header_exact,byte_exact_full,diff_全部cell(含浮点),diff_pathing(去浮点),cosmetic_wall_void(边界浮点),cell_match%,pathing_match%,w2W,W2w,w2V,V2w,status
ACT1\1X1_WALL_N0E2W2\1X1_WALL_N0E2W2_PB_B.LAYOUT,82775,True,True,False,418,196,222,99.4950,99.7632,59,97,0,40,ok
DRAGON\1X1NS\1X1_NS_JT_A.LAYOUT,62150,True,True,False,417,128,289,99.3290,99.7940,0,0,0,128,ok
ACT2_Z2\1X1_WALL_N0E2W2_LAKE_NE_SW_SE\1X1WALL_N0S0E2W2_LAKE_NE_SW_SE_BB_A.LAYOUT,75300,True,True,False,417,244,173,99.4462,99.6760,28,161,0,55,ok
ACT1\1X1_EXIT_N0E2W2\1X1_EXIT_N0E2W2_PB_A.LAYOUT,82775,True,True,False,417,195,222,99.4962,99.7644,57,98,0,40,ok
ACT1\1X1_CLIFF_CONVEX_N1W1\1X1_CLIFF_CONVEX_N1W1_JT_A.LAYOUT,90300,True,True,False,417,171,246,99.5382,99.8106,52,114,0,5,ok
ACT2_Z2\1X1_CONCAVE_N2W2_LAKE_SW_SE\1X1CONCAVE_N2W2_LAKE_SW_SE_JT_A.LAYOUT,69000,True,True,False,416,334,82,99.3971,99.5159,55,214,0,65,ok
ACT1\1X1_OPEN_N4S4E0W0_WRIVER_NS\1X1_OPEN_N4S4E0W0_WRIVER_NS_LM_B.LAYOUT,90300,True,True,False,416,195,221,99.5393,99.7841,65,61,0,69,ok
ACT1\1X1_ENTRANCE_S4E1W1\1X1_ENTRANCE_S4E1W1_PB_A.LAYOUT,97825,True,True,False,416,230,186,99.5748,99.7649,79,129,0,22,ok
NETHER\1X1NE\1X1_NE_LM_A.LAYOUT,82800,True,True,False,415,345,70,99.4988,99.5833,18,258,0,69,ok
ACT2_Z2\1X1_MESA_N0S5E5W0\1X1MESA_N0S5E5W0_LM_A.LAYOUT,62750,True,True,False,414,220,194,99.3402,99.6494,37,170,0,13,ok
ACT1\1X1_CONCAVE_N2W2\1X1_CONCAVE_N2W2_JT_A.LAYOUT,69025,True,True,False,412,176,236,99.4031,99.7450,44,124,0,8,ok
ACT1\1X1_WALL_N4E2W2\1X1_WALL_N4E2W2_PB_A.LAYOUT,82775,True,True,False,412,185,227,99.5023,99.7765,55,94,0,36,ok
ACT1\1X1_WALL_N0E2W2\1X1_WALL_N0E2W2_PB_A.LAYOUT,90300,True,True,False,410,176,234,99.5460,99.8051,56,115,0,5,ok
PHASE_BEAST_ROOMS\ACT3Z2\PHASEBEAST_A3Z2_BB_A.LAYOUT,56500,True,True,False,409,311,98,99.2761,99.4496,3,269,4,35,ok
ACT1\1X1_WALL_S0E1W1\1X1_WALL_S0E1W1_LM_A.LAYOUT,97825,True,True,False,409,162,247,99.5819,99.8344,32,124,0,6,ok
ACT2_Z2\1X1_CONCAVE_N2W2_LAKE_SW_SE\1X1CONCAVE_N2W2_LAKE_SW_SE_BB_A.LAYOUT,75000,True,True,False,408,318,90,99.4560,99.5760,38,181,0,99,ok
ACT1\1X1_ENTRANCE_S3E1W1\1X1_ENTRANCE_S3E1W1_JT_A.LAYOUT,97825,True,True,False,408,255,153,99.5829,99.7393,85,170,0,0,ok
ACT1\1X1_OPEN_N0S0E4W4_WRIVER_EW\1X1_OPEN_N0S0E4W4_WRIVER_EW_LM_A.LAYOUT,90300,True,True,False,407,189,218,99.5493,99.7907,52,75,0,62,ok
ACT2_CAVES\1X1SW_SPECIAL\1X1_SW_SPECIAL_PB_A.LAYOUT,50850,True,True,False,404,20,384,99.2055,99.9607,6,4,0,10,ok
ACT2_Z1\1X1_CONCAVE_N1E2_SPECIAL\1X1_CONCAVE_N1E2_BB_SPECIAL.LAYOUT,56475,True,True,False,404,133,271,99.2846,99.7645,29,41,1,62,ok
ACT2_CAVES\1X1EXIT_W\1X1_EXIT_W_LM_A.LAYOUT,45200,True,True,False,403,74,329,99.1084,99.8363,20,40,5,9,ok
ACT2_Z2\1X1_WALL_N0E2W2_LAKE_SW_SE\1X1WALL_N0E2W2_LAKE_SW_SE_LM_A.LAYOUT,75300,True,True,False,400,302,98,99.4688,99.5989,62,173,0,67,ok
ACT2_Z1\1X1_ENTRANCE_N2S2W0_SPECIAL\1X1_ENTRANCE_N2S2W0_PB_A_SPECIAL.LAYOUT,82500,True,True,False,400,310,90,99.5152,99.6242,184,54,0,72,ok
ACT2_Z1\1X1_CONCAVE_S2W1_SPECIAL\1X1_CONCAVE_S2W1_BB_A_SPECIAL.LAYOUT,97500,True,True,False,400,371,29,99.5897,99.6195,22,307,0,42,ok
DWARVENLAB\1X1SE\1X1_SE_LM_B.LAYOUT,56475,True,True,False,396,8,388,99.2988,99.9858,8,0,0,0,ok
ACT2_Z2\1X1_WALL_N0E2W2_LAKE_NW_SW_SE\1X1WALL_N0E2W2_LAKE_NW_SW_SE_PB_A.LAYOUT,94376,True,True,False,396,313,83,99.5804,99.6683,63,113,0,137,ok
ACT2_Z1\1X1_CONCAVE_N2W2_SPECIAL\1X1_CONCAVE_N2W2_BB_SPECIAL.LAYOUT,67800,True,True,False,395,202,193,99.4174,99.7021,45,126,0,31,ok
